"location","trigger","current copy","user-harm rank","proposed copy","implementation status","verification result"
"src/jacobian/verification.py:VerificationService._run_checker (timeout)","Checker exceeds its wall-time budget","checker timed out / transformation checker timed out","P1","The checker did not finish within the allowed time. Retry with a smaller input and inspect the local checker log if it times out again.","implemented","verified: tests/integration/test_capability_service.py::test_reference_checker_timeout_is_projected_and_fails_closed"
"src/jacobian/verification.py:VerificationService._run_checker (output limits)","Checker returns too much output or diagnostic text","checker output exceeds the configured limit / checker diagnostics exceed the configured limit","P1","State whether result data or diagnostics were too large; retry with a smaller input and inspect the local checker log if it repeats.","implemented","verified: real checker subprocess states in tests/integration/test_witness_verification.py::test_checker_output_limit_explains_recovery and test_checker_diagnostic_limit_explains_recovery"
"src/jacobian/verification.py:VerificationService._run_checker (unreadable/invalid decision)","Checker returns invalid JSON, a non-object, or an invalid decision","checker returned invalid JSON / checker worker returned a non-object / checker returned an invalid decision","P1","State whether the response or decision was unreadable or invalid; retry once and inspect the local checker log if it repeats.","implemented","partially verified: real checker subprocess tests exercise invalid JSON and invalid decisions in tests/integration/test_witness_verification.py::test_invalid_checker_responses_explain_recovery; the defensive non-object worker response remains unforced"
"src/jacobian/verification.py:evidence binding and lineage validation","Witness, certificate, transformation, or preservation evidence does not bind the supplied artifacts","Raw trust-boundary jargon such as bindings do not match, artifact parents do not bind, or semantics differ","P1","Name the mismatched artifacts in plain language and direct the agent to recreate evidence from the exact inputs or one reference contract.","implemented","partially verified: reachable rebound-witness state in tests/integration/test_witness_verification.py::test_valid_witness_rebound_to_another_candidate_is_rejected; related branches share revised copy but remain individually unforced"
"src/jacobian/capabilities.py:CapabilityService.invoke (unknown capability)","Agent invokes a capability_id that is not installed","Raises CapabilityError: unknown capability: <id>; MCP converts it to an unstructured ToolError","P1","Return UNKNOWN_CAPABILITY at capability_resolution, list installed capability IDs, and tell the agent to call capability.describe.","implemented","verified: direct capability test and real in-process MCP call in tests/integration/test_mcp_adapter.py"
"src/jacobian/capabilities.py:CapabilityService.invoke (unsupported mode)","Agent selects EXPLORE or VERIFY when that capability does not advertise it","Raises CapabilityError: <id> does not support <mode>","P1","Return UNSUPPORTED_MODE, list available modes, and tell the agent to call capability.describe.","implemented","verified: tests/integration/test_capability_service.py::test_unsupported_capability_mode_lists_available_modes"
"src/jacobian/capabilities.py:CapabilityService.invoke (adapter exception)","A capability adapter raises an unexpected exception","Capability adapter failed: <Python exception class>","P1","The capability stopped before returning a result. Retry once. If it fails again, inspect the local Jacobian log for this capability.","implemented","verified: tests/integration/test_capability_service.py::test_adapter_failure_does_not_expose_internal_exception_text; raw local traceback remains in local logs"
"src/jacobian/adapters/mcp/server.py:_lean_service","Agent calls lean.verify when Lean checking is unavailable","the bundled Lean checker is not installed","P1","Lean checking is unavailable. Call capability.describe for lean.check; if absent, prepare the pinned Lean runtime and restart Jacobian.","implemented","verified: real in-process MCP call in tests/integration/test_mcp_adapter.py::test_mcp_missing_bundled_services_explain_how_to_recover"
"src/jacobian/adapters/mcp/server.py:_verification_workflow_service","Agent calls verification.run when bundled workflows are unavailable","bundled verification workflows are not installed","P1","Bundled workflows are unavailable. Call capability.describe without an ID, then restart Jacobian with bundled references enabled.","implemented","verified: real in-process MCP call in tests/integration/test_mcp_adapter.py::test_mcp_missing_bundled_services_explain_how_to_recover"
"src/jacobian/adapters/mcp/remote.py:StaticTokenGrant.__post_init__","Operator supplies an invalid tenant_id","tenant_id has an invalid format","P1","State the allowed first character, allowed character set, and 128-character limit.","implemented","verified: tests/integration/test_remote_mcp.py::test_remote_configuration_errors_name_the_rule_and_recovery"
"src/jacobian/adapters/mcp/remote.py:TenantKernelRouter.kernel_for (missing subject)","Remote request reaches tenant routing without an authenticated subject","authenticated tenant subject is required","P1","Authentication is required for this server. Authenticate with a configured bearer token and retry.","implemented","verified: direct router state in tests/integration/test_remote_mcp.py and real in-process MCP projection in tests/integration/test_mcp_adapter.py::test_mcp_authentication_and_internal_lookup_failures_are_distinct"
"src/jacobian/adapters/mcp/remote.py:TenantKernelRouter.kernel_for (invalid subject)","Authentication middleware supplies a subject that tenant isolation cannot accept","authenticated tenant subject is invalid","P1","The subject cannot be used for tenant isolation. Check the server token configuration, then authenticate again.","implemented","verified: tests/integration/test_remote_mcp.py::test_remote_configuration_errors_name_the_rule_and_recovery"
"src/jacobian/adapters/mcp/remote.py:load_static_token_file (read/JSON failure)","Remote server starts with a missing, unreadable, non-UTF-8, or malformed token file","cannot read the remote auth token file / uncaught UnicodeDecodeError","P1","Explain that the file could not be read; check its existence, readability, UTF-8 encoding, and JSON syntax before retrying.","implemented","verified: missing and non-UTF-8 token files in tests/integration/test_remote_mcp.py::test_remote_configuration_errors_name_the_rule_and_recovery"
"src/jacobian/adapters/mcp/remote.py:load_static_token_file (record fields/types)","A token grant is not an object, has extra fields, has invalid field types, or violates a grant rule","token grants contain unsupported fields / token grant fields have invalid types / validation loses the record index","P1","Name the one-based record, offending field or expected type, allowed fields, and grant rule.","implemented","verified: object, extra-field, tenant_id, token, scopes, and second-record short-token states in tests/integration/test_remote_mcp.py::test_remote_configuration_errors_name_the_rule_and_recovery"
"src/jacobian/store.py:_write_blob","Filesystem write fails and OSError includes an absolute server path","filesystem error while writing blob: <raw OSError>","P1","Jacobian could not write artifact data. Check the state directory and available disk space, then retry. Keep the raw OSError only in local logs.","implemented","verified: tests/integration/test_artifact_store.py::test_store_keeps_filesystem_paths_local"
"src/jacobian_checkers/lean4.py:check_kernel_certificate","Lean rejects a proof and stdout/stderr may contain temporary paths or implementation detail","Lean rejected the proof: <up to 2000 characters of raw compiler output>","P1","Return a bounded line/column repair diagnostic that removes local paths and internal labels; use a generic proof-repair action when output is unstructured.","implemented","verified: independent Unix, quoted-space, UNC, tilde, provider-label, and internal-label sanitizer states in tests/contract/test_lean_checker_errors.py plus live accepted and rejected compiler states in tests/integration/test_lean.py"
"src/jacobian_checkers/lean4.py:_lean_command, _validate_lean, and _run_lean","Elan has no global default, the pinned toolchain is absent, or Lake could select a different compiler","Lean could not run locally. Prepare the pinned Lean runtime, then retry; no-Elan mathlib validates a different command than it executes","P1","Select and validate the exact core or lake env lean command without relying on a global default; preserve the user's Elan home and provide the exact install command when absent.","implemented","verified: default-free live core proof, isolated empty Elan recovery, exact mathlib command validation, and system-Elan home cases in tests/contract/test_lean_checker_errors.py and tests/integration/test_lean.py"
"src/jacobian/polytope.py:PolytopeService.separate","The exact backend raises a Z3Exception","exact polytope backend failed: <raw backend text>","P1","The exact polytope check failed. Retry with a smaller input; if it fails again, inspect the local Jacobian log. Keep backend text local.","implemented","verified: tests/integration/test_polytope_separation.py::test_backend_failure_keeps_provider_detail_local"
"src/jacobian/adapters/mcp/server.py:_kernel and _resource_kernel","MCP request context or server state is missing","MCP request context is unavailable / MCP lifespan state is invalid / MCP lifespan has no kernel","P1","Jacobian is unavailable for this request. Retry once; if it repeats, inspect the local Jacobian log.","implemented","blocked: these states require an MCP SDK lifecycle failure and are not reachable through a correctly constructed client"
"src/jacobian/adapters/mcp/server.py:artifact.put and other exception-raising tools","A non-result-envelope MCP tool raises a kernel exception","MCP framework text: Error executing tool <name>: <raw exception text>","P1","Return a stable agent-readable JSON error with code, stage, plain message, and recovery hint; log the raw exception locally.","implemented","verified: real in-process artifact.put failure in tests/integration/test_mcp_adapter.py::test_mcp_tool_failures_return_safe_actionable_errors"
"src/jacobian/adapters/mcp/server.py:reference_domain_resource","Agent requests an unknown or unavailable reference domain","Raw JSON-RPC error: unknown bundled reference domain / reference domain has no agent contract","P1","Return UNKNOWN_REFERENCE with available reference names and a capability.describe recovery action.","implemented","verified: real in-process capability.describe request in tests/integration/test_mcp_adapter.py::test_mcp_tool_failures_return_safe_actionable_errors; direct resource failure remains blocked by JSON-RPC resource semantics"
"src/jacobian/registry.py:CheckerRegistry.select_compatible (none)","Verification has no active checker compatible with the evidence bindings","no active checker supports this evidence format and semantics","P1","No authorized checker matches this evidence and its semantics. Review the reference contract and authorize a compatible checker before retrying.","implemented","verified: tests/integration/test_checker_registry.py::test_checker_selection_errors_explain_recovery"
"src/jacobian/registry.py:CheckerRegistry.select_compatible (ambiguous)","More than one checker is compatible and policy cannot choose","checker selection is ambiguous; operator policy must choose one","P1","Multiple authorized checkers match this evidence. Configure checker policy to select exactly one, then retry.","implemented","verified: tests/integration/test_checker_registry.py::test_checker_selection_errors_explain_recovery"
"src/jacobian/search.py:SearchService._reuse_request","An idempotency key is reused with a different request","idempotency key is already bound to a different request","P1","This idempotency key is already bound to a different request. Reuse the original request or choose a new idempotency key.","implemented","verified: tests/integration/test_search_orchestration.py::test_idempotency_key_cannot_be_rebound"
"src/jacobian/contracts/search.py:SearchRunRequest and src/jacobian/contracts/conjectures.py:FalsificationPlan","An agent supplies only one half of the witness/checker policy","witness role and counterexample checker must be configured together","P1","Set both witness_role and counterexample_checker_id, or omit both. Use the reference contract to choose the checker.","implemented","verified: reachable model-validation states in tests/contract/test_search_contracts.py and test_conjecture_contracts.py"
"src/jacobian/search.py:search execution counterexample policy","Search execution reaches a witness without a counterexample checker despite request validation","counterexample checker policy is missing","P1","A counterexample witness was found, but no checker was supplied. Set counterexample_checker_id from the reference contract and retry.","implemented","blocked: the public request model rejects an incomplete policy before search starts; retained as a defensive invariant"
"src/jacobian/search.py and src/jacobian/experiments.py:inspect/control missing experiment","An agent supplies an unknown experiment URI","search not found: <URI> / experiment not found: <URI>","P1","The experiment was not found. Check the URI returned by search.run or search.enumerate, or start a new experiment.","implemented","verified: tests/integration/test_enumeration_experiments.py::test_unknown_experiment_error_explains_recovery"
"src/jacobian/experiments.py:ExperimentService.wait and src/jacobian/search.py:SearchService.wait","Wait timeout expires before an experiment settles","experiment did not settle: <experiment URI> / search did not settle: <experiment URI>","P1","Explain that the experiment is still running and direct the agent to inspect it or wait again with a larger timeout.","implemented","verified: real running enumeration and search states in tests/integration/test_enumeration_experiments.py and test_search_orchestration.py"
"src/jacobian/conjectures.py:verification-record replay","A source verification record no longer replays with its authorized checker","source verification record did not replay with its authorized checker","P1","The verification record no longer replays to VERIFIED. Re-run verification with an active checker, then retry this workflow.","implemented","verified: revoked-checker replay state in tests/integration/test_conjecture_workflows.py"
"npm/bin/doctor.cjs:expected tool catalog","Doctor checks the default capability-first server against the obsolete full low-level tool list","Doctor reports a partial catalog and tells the user to run setup even when the default server is healthy","P1","Validate capability.describe and capability.invoke, the two tools in the default capability-first profile.","implemented","verified: real clean local npm bootstrap and MCP handshake returned status ok with both capability tools"
"npm/bin/doctor.cjs:request timeout","The local MCP server does not answer a doctor request before its deadline","timed out after <milliseconds>ms waiting for response id=<internal request id>","P1","Jacobian did not answer within the diagnostic timeout. Retry doctor once; if it repeats, run setup and retry.","implemented","verified: npm/npm-packaging.test.mjs doctor timeout-copy state; internal request ID is absent"
"npm/bin/doctor.cjs:initialize/tools-list errors","The MCP server returns a JSON-RPC error during doctor","initialize failed: <raw JSON> / tools/list failed: <raw JSON>","P1","Name the failed handshake stage, run setup, restart the configured client, and retry doctor; omit the raw response from primary copy.","implemented","verified: npm/npm-packaging.test.mjs handshake helper state"
"npm/bin/doctor.cjs:server exit and identity checks","The MCP process exits before responding or another server answers the configured command","server exited with code <code> / MCP identified itself as <name>, expected jacobian","P1","Explain that Jacobian stopped or the configured server is not Jacobian; run setup, restart the client, and retry doctor.","implemented","partially verified: the copy is implemented at the real process boundary; deterministic server-exit and wrong-server states are not forced in the packaging suite"
"npm/bin/launcher.cjs:runtime discovery","No suitable Python runtime or package bootstrap path is available","no Python runtime found / venv creation failed / package install failed","P1","Explain which prerequisite is missing and give the exact recovery command.","implemented","verified: real child process with an empty PATH in npm/npm-packaging.test.mjs"
"npm/bin/launcher.cjs:child process error","The selected Python process cannot start after runtime discovery","Failed to start Jacobian: <raw error.message>","P1","State that Jacobian could not start, preserve the relevant local process diagnostic, and direct the user to run doctor.","implemented","blocked: requires a child-process error after successful runtime discovery; the normal no-runtime state is verified separately"
"npm/bin/jacobian.cjs:MCP and Python launch catches","The top-level MCP or forwarded Python launch throws before starting","The thrown launcher error escapes the command","P1","State whether MCP or the Python CLI could not start and preserve the local recovery detail without a stack trace.","implemented","partially verified: setup/remove/doctor top-level failure is exercised; MCP and forwarded-command launch catches remain unforced"
"src/jacobian/evaluation.py and src/jacobian/witnesses.py:input and dependency failures","An artifact, plugin, schema, or plugin response fails while evaluating candidates or searching for witnesses","Raw StoreError, PluginRegistryError, or Pydantic validation text is returned in REJECTED details","P1","Name the failed stage, keep raw detail in local logs, and direct the agent to check artifact URIs, capability.describe, or the reference contract.","implemented","verified: focused evaluation and witness integration suites passed; lower-layer failure mapping is exercised through missing/mismatched inputs, while defensive response branches are not all independently forced"
"src/jacobian/structures.py and src/jacobian/transformations.py:input and dependency failures","Canonicalization or representation transformation receives mismatched artifacts or a lower-layer failure","Raw exception text is returned in the rejected ResultEnvelope","P1","Explain the schema or semantics mismatch, or give a safe artifact/plugin/reference-contract recovery action while logging the raw cause locally.","implemented","verified: tests/integration/test_structure_canonicalization.py and test_transformations.py exercised reachable rejected and operational states"
"src/jacobian/shrinking.py:validation and proposal failures","Shrinking setup, reducer response, or a proposed reduction is invalid","Raw Pydantic, StoreError, or schema text is returned in result or step detail","P1","Explain the missing budget/reducer/objective, or direct the agent to check artifact URIs and the reference contract; keep raw reducer diagnostics local.","implemented","verified: tests/integration/test_shrinking.py passed; malformed reducer response and all setup validation states are covered, while a forced StoreError proposal remains untested"
"src/jacobian/claims.py and src/jacobian/artifacts.py:validation boundaries","Claim or artifact validation fails in schema, storage, parent, or plugin lookup","Raw schema, storage, URI, parent, or payload validation text is exposed by the direct API","P1","State whether the descriptor, parent, payload, storage limit, or persistence stage failed; point to capability.describe for plugin selection and do not echo payload values.","implemented","verified: tests/integration/test_claim_validation.py and test_artifact_service.py exercise missing-capability, invalid-payload, and duplicate-parent states"
"src/jacobian/capabilities.py and src/jacobian/builtin_capabilities.py:INVALID_REQUEST","A capability input does not match its advertised JSON Schema","jsonschema message may echo the rejected payload value and Python type name","P1","Return a stable INVALID_REQUEST diagnostic with the safe field path, JSON type, capability.describe hint, and no payload echo.","implemented","verified: tests/integration/test_capability_service.py::test_invalid_capability_input_does_not_echo_payload"
"src/jacobian/search.py and src/jacobian/experiments.py:execution failure detail","A running search or enumeration hits a schema, storage, plugin-registry, or validation failure","The raw exception string is persisted in the agent-visible experiment snapshot","P1","Persist a stable stage-specific recovery message, keep raw diagnostics in the local log, and preserve only explicitly controlled SearchError or ExperimentError copy.","implemented","verified: malformed proposer and rejected evaluation states in search/enumeration integration tests; raw fixture and Pydantic payload text are absent"
"src/jacobian/plugins/registry.py:manifest and implementation failures","A plugin entrypoint cannot be read or an installed manifest/snapshot dependency is corrupt","Raw implementation, module path, StoreError, or validation text is wrapped in PluginRegistryError","P1","Explain whether the entrypoint, manifest, snapshot, or implementation is unavailable and tell the agent to check module:function, the reference contract, or reload the current plugin.","implemented","partially verified: plugin registry and execution suites cover changed and incompatible implementations; forced internal path failures remain untested"
"src/jacobian/verification.py:schema validation failures","Evidence fails registered schema validation before checker execution","Raw Pydantic or schema-registry validation text is returned as rejected input","P1","Explain that evidence does not match its schema and direct the agent to recreate it from the reference contract and exact bound artifacts.","implemented","partially verified: verification integration suite covers multiple rejected evidence states; not every Pydantic defensive branch is independently forced"
"src/jacobian/polytope.py:input validation boundary","Point or generator artifacts fail storage, schema, dimension, rational-value, or semantics validation","Raw StoreError, Pydantic detail, or terse ValueError is returned as rejected input","P1","Keep lower-layer detail local and tell the agent to check artifact URIs, exact rationals, dimensions, semantics, and the polytope reference contract.","implemented","verified: tests/integration/test_polytope_separation.py covers malformed input and provider failure states"
"src/jacobian/experiments.py and src/jacobian/search.py:recovery quarantine detail","A persisted experiment snapshot is corrupt or inconsistent during startup recovery","stored ... snapshot is invalid: <Python exception class>","P2","Stored experiment state is invalid. Restore the Jacobian state directory from a trusted backup or start a new experiment.","implemented","verified: real corrupt, mismatched, and invalid-state database rows in enumeration and search recovery tests; exception classes are logged locally only"
"src/jacobian/cli.py:_public_error (storage limit)","A CLI operation exceeds an artifact size or state quota","Classified as INVALID_INPUT with a schema-validation recovery hint","P2","Return STORAGE_LIMIT_REACHED and tell the agent to reduce the payload or free space in the state directory.","implemented","verified: tests/integration/test_cli.py::test_cli_storage_limit_has_a_capacity_recovery_action exercises the boundary mapping without exposing the raw limit detail"
"src/jacobian/canonical.py:strict JSON validation","Input contains NaN, a duplicate key, or an unsupported Python type","Echoes non-finite values and Python types; duplicate-key copy lacks a repair action","P2","Do not echo values or Python types. Name the duplicate user-supplied key and tell the agent to remove or rename one occurrence.","implemented","verified: tests/contract/test_canonical_json.py::test_canonical_errors_preserve_only_repair_relevant_context"
"src/jacobian/conjectures.py:workflow validation and promotion","Conjecture input, evidence lineage, plugin output, or parameter-region promotion is invalid","Terse internal jargon without a next action; lower-layer exception text may pass through unchanged","P2","Name the failed artifact relationship or missing field, point to the producing tool, and sanitize lower-layer failures with a retry action.","implemented","partially verified: parameter promotion, repair, generation, and replay tests exercise the revised paths in tests/integration/test_conjecture_workflows.py; not every defensive branch is independently forced"
"src/jacobian/registry.py:checker lifecycle and compatibility errors","Checker is missing, revoked, changed, corrupt, or incompatible","Messages expose checker IDs or state facts without a recovery action","P2","Remove checker IDs from copy; direct the agent to the reference contract, a new authorized version, or trusted state recovery as appropriate.","implemented","verified: selection, revocation, metadata corruption, and authorization-scope states in tests/integration/test_checker_registry.py"
"src/jacobian/verification.py:StoreError routing","A supplied verification artifact URI is absent, or committed storage fails integrity replay","Missing input is reported as accepted operational failure; raw StoreError detail is exposed","P2","Classify a missing supplied artifact as REJECTED input; keep committed-data corruption as a safe operational ERROR and log its raw cause locally.","implemented","verified: missing and corrupted real artifact states in tests/integration/test_witness_verification.py; both remain UNKNOWN/UNVERIFIED"
"src/jacobian/search.py and src/jacobian/experiments.py:terminal persistence failure","Archive or terminal snapshot persistence fails","Appends terminal archive persistence failed: <Python exception class> to an agent-readable snapshot","P2","Jacobian could not save the final experiment archive. The experiment remains unverified. Check state-directory space and permissions, then inspect the experiment.","implemented","verified: reachable forced persistence failures in tests/integration/test_enumeration_experiments.py and test_search_orchestration.py; raw exception remains only in local logs"
"src/jacobian/lean.py:LeanService.verify","A directly constructed partial LeanService is asked for an uninstalled environment","Bare KeyError containing the enum value","P2","Lean environment '<name>' is not installed. Call capability.describe for lean.check to list installed environments.","implemented","verified: reachable partial-service state in tests/contract/test_lean_errors.py"
"npm/bin/setup.cjs:invalid client configuration JSON","A selected client config contains invalid JSON or the wrong top-level shape","Invalid JSON in <path>: <parser detail> / Top-level value ... must be an object","P2","Keep the local path and parser detail because they are relevant local diagnostics; state that no changes were written and the file must be repaired before retrying.","implemented","verified: real temporary invalid client configuration in npm/npm-packaging.test.mjs remained unchanged"
"npm/bin/jacobian.cjs:top-level setup/remove/doctor catch","A client command throws unexpectedly","Setup failed / Remove failed / Doctor failed: <raw error.message>","P2","State the failed operation, preserve relevant local diagnostic text, and add the next command to run or file to inspect.","implemented","verified: real top-level setup failure with an invalid temporary client configuration in npm/npm-packaging.test.mjs; no stack trace and no file change"
"src/jacobian/references.py:reference_catalog","A malformed partial Lean installation omits CORE","Bare KeyError for LeanEnvironment.CORE","P3","Omit the incomplete Lean catalog entry until CORE is installed.","implemented","verified: malformed partial catalog state in tests/contract/test_lean_errors.py"
"src/jacobian/plugin_worker.py and src/jacobian/checker_worker.py:local subprocess protocol","Local worker catches an exception","Internal JSON contains exception class and raw detail; worker code could imitate a source-change exception class","P3","Preserve raw bounded diagnostics locally, set SOURCE_CHANGED only from Jacobian's measured digest-check phase, and translate before exposing a result.","implemented","verified: real subprocess protocol tests confirm measured SOURCE_CHANGED classification, ordinary worker code cannot self-report it, and raw detail does not cross the agent-visible result boundary"
